repo,commit,date,dependency,old_version,new_version,file,usage_changed,usage_details,syntactic_break,syntactic_details,semantic_change,semantic_details,commit_message,response_type
repos\commons-lang,8338eb2544f0f3f4a6067af7a1416338067a49e3,2009-03-17 14:40:26+00:00,junit:junit,3.8.1,3.8.2,EnumUtils.java,False,None,False,None,True,Logic changed,Specify encoding to use; Use better JUnit; Add JCIP annotation depend,Feature Addition
repos\commons-lang,1e282a96432db07339b0df337a9284d9d4b39f73,2009-10-13 05:40:15+00:00,junit:junit,3.8.2,4.7,CharUtilsPerfRun.java,False,None,False,None,True,Logic changed,Upgrading to JUnit 4.7. Changing two classes (ClassNotFoundSerializationTest and CharUtilsPerfTest) to not end with Test as that was throwing them into the JUnit setup. CharUtilsPerfTest renamed to CharUtilsPerfRun. ClassNotFoundSerializationTest becomes ClassNotFoundSerialization. ,Testing
repos\commons-lang,1e282a96432db07339b0df337a9284d9d4b39f73,2009-10-13 05:40:15+00:00,junit:junit,3.8.2,4.7,SerializationUtilsTest.java,False,None,False,None,True,Logic changed,Upgrading to JUnit 4.7. Changing two classes (ClassNotFoundSerializationTest and CharUtilsPerfTest) to not end with Test as that was throwing them into the JUnit setup. CharUtilsPerfTest renamed to CharUtilsPerfRun. ClassNotFoundSerializationTest becomes ClassNotFoundSerialization. ,Testing
